Cell Type,MXA Copy Number,RIG-I Copy Number
A549 WT mock,1.10,1.44
A549 WT +IFNB,1020.90,101.90
c1 mock,2.10,1.90
c1 +IFNB,426.50,59.43
c2 mock,0.87,0.80
c2 +IFNB,0.58,0.68
c3 mock,2.29,3.97
c3 +IFNB,15.01,6.06
c4 mock,0.90,1.64
c4 +IFNB,2.20,1.92
c5 mock,0.75,1.23
c5 +IFNB,3.73,1.74
c6 mock,602.13,N/A
c6 +IFNB,131.69,25.28
c7 mock,0.55,1.10
c7 +IFNB,1.65,1.72
c8 mock,1.63,2.06
c8 +IFNB,600.40,75.25
c9 mock,2.30,1.59
c9 +IFNB,2.66,1.42
c10 mock,0.97,2.58
c10 +IFNB,624.70,93.18
c11 mock,0.58,1.36
c11 +IFNB,10.71,4.86
c12 mock,0.88,0.58
c12 +IFNB,556.38,76.61
c13 mock,0.88,1.39
c13 +IFNB,0.56,0.78
c14 mock,0.57,1.29
c14 +IFNB,5.77,1.59
c15 mock,0.30,1.40
c15 +IFNB,0.45,1.09
