Cell Type,MXA Copy Number,RIG-I Copy Number
A549 WT +mock,0.48,1.77
A549 WT +IFNL,192.41,25.43
c1 +mock,1.17,1.34
c1 +IFNL,211.91,25.24
c2 +mock,0.50,1.54
c2 +IFNL,1.52,1.76
c3 +mock,0.59,1.95
c3 +IFNL,295.27,52.95
c4 +mock,0.54,1.76
c4 +IFNL,159.60,23.20
 c5 +mock,0.65,1.81
c5 +IFNL,178.62,19.16
c6 +mock,0.26,0.72
c6 +IFNL,19.19,3.39
c7 +mock,0.25,1.16
c7 +IFNL,8.90,2.33
c8 +mock,0.92,1.30
c8 +IFNL,60.72,11.73
c9 +mock,0.50,1.48
c9 +IFNL,20.23,3.21
c10 +mock,0.39,1.12
c10 +IFNL,103.31,15.41
c11 +mock,0.48,1.02
c11 +IFNL,0.83,1.08
c12 +mock,1.09,2.93
c12 +IFNL,106.69,13.96
c13 +mock,0.68,2.28
c13 +IFNL,45.07,6.47
c14 +mock,0.40,1.33
c14 +IFNL,0.88,1.20
c15 +mock,0.37,0.99
c15 +IFNL,18.37,4.29
